,symbol,display_symbol,name,aliases,shortname,last_price_usd,market_cap_rank,volume_rank,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_3Y_percent,price_change_5Y_percent,price_change_ALL_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,growth_all_time,ccu_slug,image_hash,market_cap_usd,categories
9949,XSHN,XSHN,SHINAR,,shinar,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1561541823,,true,true,,shinar,,0.0,[15]
9950,XSP2,XSP,XSwap,,xsp,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,true,,,1600862511,,true,true,,xsp,,0.0,[15]
9951,XST2,XST,Xstable.Protocol,,xstable-protocol,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,true,,,1611754194,,true,true,,xstable-protocol,,0.0,[15]
9952,XTEM,XTEM,TEMCoin,,temcoin,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,not_trading,,,1627073586,,true,true,,temcoin,,0.0,[]
9953,XTK2,XTK,xToken,,xtoken,0.05978899650188001,,2113.0,-0.84,-4.29,-2.48,-71.21,42.05,-74.97,-79.43,-79.43,-79.43,-87.34,-79.43,193723.0,true,2021-02-25 14:05:00,,1632745727,,true,true,,xtoken,,0.0,[15]
9954,XTRL,XTRL,Turkey Energy Token,,turkey-energy-token,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1542707394,,true,true,,turkey-energy-token,,0.0,[]
9955,XTRM,XTRM,XTRM,,xtrm,0.000438280113285,,3210.0,-0.43,-4.8,-13.31,-28.57,33.06,-78.42,-92.04,-99.86,-99.86,-99.89,-95.19,112.0,true,2020-06-01 13:05:00,,1632745427,,true,true,1970-01-01,xtrm-coin,,0.0,[15]
9956,XUSD,XUSD,XUSD Stable,,xusd-stable,0.60249827608085,,2884.0,-0.42,8.43,-1.43,-0.27,-32.8,-9.97,-40.86,-40.86,-40.86,-37.79,-40.86,1829.0,true,2021-01-26 12:35:00,,1632745427,,true,true,,xusd-stable,,0.0,[15]
9957,XVIX,XVIX,XVIX,,xvix,28.32,,,-0.8,6.18,7.55,-1.3599999999999999,27.86,20.15,114.03,114.03,114.03,65.83,139.37,272.0,true,2020-12-14 14:05:00,,1632745786,,true,true,,xvix,,0.0,[]
9958,XVMC,XVMC,Mac&Cheese,,macandcheese,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,not_trading,,,1621852096,2021-05-31 23:59:00,true,true,,macandcheese,,0.0,"[2, 3, 14, 17]"
9959,XYLO,XYLO,XYLO,,xylo,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading_anymore,2017-12-06 21:54:56,,1514407883,,true,true,,xylo,,0.0,[]
9960,Xpie,Xpie,LibertyPie,,libertypie,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,not_trading,,,1607504657,,true,true,,libertypie,,0.0,[]
9961,YAM3,YAM,YAM v3,,yam-v3,0.46023000000000003,,1776.0,-0.28,-0.12,-26.52,-48.39,-39.95,-87.49,-75.4,-75.4,-75.4,-81.07,-55.94,24964.0,true,2020-09-22 08:45:00,,1632745486,,true,true,,yam-v3,,0.0,[15]
9962,YAPE,YAPE,GorillaYield,,gorillayield,0.002700891112908,,,0.0,0.0,0.0,0.0,0.0,,,,,6.68,0.0,0.0,not_trading,2021-04-20 07:50:00,,1619513756,,true,true,,gorillayield,,0.0,[]
9963,YBC2,YBC,YourBestCoin,,yourbestcoin,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,not_trading,,,1624673479,,true,true,,yourbestcoin,,0.0,[3]
9964,YCBF,YCBF,Yearn Coin Barter Finance,,yearn-coin-barter-finance,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,not_trading,,,1613464976,,true,true,,yearn-coin-barter-finance,,0.0,"[14, 15]"
